ds,yhat,yhat_lower,yhat_upper
<<<<<<< HEAD
2019-02-01,5.578069789962889,4.181571209207675,7.020493478054539
2019-03-01,5.462027230421363,4.156525000527152,6.8196274091249585
2019-04-01,5.944517237879583,4.623517674804542,7.264528796050143
2019-07-01,6.4579018545781635,5.076514253829578,7.795229407086289
2019-10-01,6.347936707049446,5.007090706554922,7.732032375150655
2020-01-01,6.104563965897777,4.751797590953039,7.528826141875396
2020-04-01,6.263095784890541,4.842881545743894,7.619237962043793
2020-10-01,6.325740658262783,4.914751139083236,7.780895559570438
2020-11-01,6.4723093596624235,5.053646802787776,7.860458235150398
2020-12-01,6.625614378330323,5.21793227644834,7.936264188189886
2021-01-01,6.452332656879308,5.1912499700122385,7.798642824062775
2021-02-01,7.006716428379627,5.6169950460191576,8.403445981525433
2021-03-01,7.0972381819581525,5.811768631508773,8.50161305637627
2021-04-01,7.015942421747319,5.694096042114445,8.372036877024563
2021-05-01,6.8664462178941665,5.516985944517351,8.30934008984708
2021-06-01,7.085294218472764,5.731707598340832,8.550202086739104
2021-07-01,7.045639986335725,5.731188230594416,8.392044435354402
2021-08-01,7.011065396974852,5.635652569796953,8.459505366177323
2021-09-01,7.235059069840852,5.836642725615143,8.618650032354026
2021-10-01,7.18870947170474,5.85995572623396,8.546258538273987
2021-11-01,7.207048686609754,5.802212655846957,8.561723040425031
2021-12-01,7.271425786769269,5.915391837354228,8.775317320641348
2022-01-01,7.201361014444384,5.739067505755249,8.654443050821019
2022-02-01,7.5879432634775075,6.218629487637083,9.040929067540597
2022-03-01,7.571640700123167,6.24306496611554,8.961228278472559
2022-04-01,7.772075707749397,6.469958865747277,9.264250892765528
2022-05-01,7.482734635861065,6.049507963828755,8.884441845958696
2022-06-01,7.764919867033022,6.292480243836974,9.167185670023674
2022-07-01,8.048625796070894,6.724779833470975,9.48770369308738
2022-08-01,7.353915058379931,5.896678700353578,8.581393353393976
2022-09-01,7.565332678975558,6.278317904408319,8.976770852177063
2022-10-01,8.058462187181032,6.556653972400898,9.375616418669813
2022-11-01,7.941085111446477,6.710258532649029,9.389675916795113
2022-12-01,7.9161407313092855,6.487560008647788,9.344523719051386
2023-01-01,7.9476738042690105,6.534862422719581,9.376042402995882
2023-02-01,8.164806650608234,6.781576094502456,9.642380911127017
