ds,yhat,yhat_lower,yhat_upper
2005-01-01,13.0822432975691,10.249334883833292,15.725180023084842
2006-01-01,13.508662438430527,10.664076903335697,16.33390537342416
2007-01-01,13.997163136788984,11.094283031111468,16.69752249734444
2008-01-01,14.547311948178713,11.65060798121575,17.4005223308195
2009-01-01,13.702345192055603,11.0575027370382,16.405094089389145
2010-01-01,14.12876432850972,11.290207873039456,16.913149677456918
2011-01-01,14.617264714708192,11.849207325011943,17.377781798831855
2012-01-01,15.167266495318078,12.263369482616172,18.06597228281183
2013-01-01,14.321600823507614,11.424458822333323,17.190338565733796
2014-01-01,14.746737518333052,11.851346423154649,17.902452632828414
2015-01-01,15.233590932779752,12.441016787561272,18.01216079067197
2016-01-01,15.781875432451256,12.991362895707258,18.797413890895665
2017-01-01,14.934907014174998,11.956762934213177,17.72686287767401
2018-01-01,15.359287316109725,12.595960744353745,18.118102550178726
2019-01-01,15.845490687501627,13.181296487615429,18.67728599514064
2020-01-01,16.392884208648805,13.709879109336372,19.321299469806803
2021-01-01,15.544929767479763,12.651173993907907,18.401229471800484
2022-01-01,15.968369386638582,13.269884376438092,18.91341275476586
2023-01-01,16.453890565403757,13.691130437137774,19.200241695120035
2024-01-01,17.00105985708546,14.281993290347328,19.97083700185414
2025-01-01,16.153105415919363,13.515865867492842,18.835074683936245
2026-01-01,16.57654503507605,13.70755456737886,19.45755992653771
2027-01-01,17.062066213843394,14.184058000345715,19.80292494476075
2028-01-01,17.60923550552815,14.870491311342954,20.164779524581057
