id,listing_id,source_name,price,surface,rooms,city,region,zone,transaction_type,property_type,scraped_at,change_type,price_delta,price_delta_pct,reliability_score
1731,tunisieannonce_55558e23e3b3,tunisieannonce,530000.0,328.0,3.0,Hammam Sousse,TUNIS,north,Sale,Land,2026-03-26T16:08:38.060389,new,,,100
1840,tunisieannonce_a90ca4cd3525,tunisieannonce,650.0,90.0,2.0,Bou Mhel,TUNIS,north,Rent,Villa,2026-03-26T16:08:47.784163,new,,,85
1640,newkey_130395,newkey,500.0,,,Bureau Et Local...,,,Rent,Commercial,2026-03-26T16:09:08.124954,new,,,20
1865,tunisieannonce_b55877236cab,tunisieannonce,1250.0,550.0,5.0,Bou Mhel,TUNIS,north,Sale,Land,2026-03-26T16:09:27.013670,new,,,75
1786,tunisieannonce_7b80f613901f,tunisieannonce,370000.0,154.0,5.0,Bou Mhel,TUNIS,north,Sale,Villa,2026-03-26T16:09:34.654075,new,,,95
1838,tunisieannonce_a7c027deeac9,tunisieannonce,470000.0,400.0,3.0,Cite Ennkhilet,TUNIS,north,Sale,Land,2026-03-26T16:09:43.823604,new,,,100
1881,tunisieannonce_c25f2d2052cd,tunisieannonce,250000.0,560.0,,Kairouan Sud,TUNIS,north,Sale,Land,2026-03-26T16:09:53.637156,new,,,90
1660,tunisieannonce_14f241a5ffda,tunisieannonce,250000.0,100.0,,Zone Industrielle Saint Gobin,TUNIS,north,Sale,Land,2026-03-26T16:10:08.950741,new,,,90
1653,tunisieannonce_109da333cf6b,tunisieannonce,750000.0,450.0,3.0,Cite El Ghazala 1,TUNIS,north,Sale,Land,2026-03-26T16:10:17.196508,new,,,100
1688,tunisieannonce_302bf775ffd6,tunisieannonce,500000.0,210.0,4.0,Cite El Ghazala 1,TUNIS,north,Sale,Villa,2026-03-26T16:10:28.217677,new,,,100
1921,tunisieannonce_e6c5fe83727e,tunisieannonce,1300.0,180.0,4.0,Cite El Ghazala 1,TUNIS,north,Rent,Apartment,2026-03-26T16:10:37.461453,new,,,90
1774,tunisieannonce_721c5e93fdb8,tunisieannonce,1008.0,840.0,,Hammam Chatt,TUNIS,north,Sale,Land,2026-03-26T16:10:47.499218,new,,,70
1862,tunisieannonce_b3d62b5e0c8e,tunisieannonce,100000.0,170.0,,Rades Plage,TUNIS,north,Sale,Land,2026-03-26T16:10:54.987370,new,,,90
1849,tunisieannonce_b028112fdbd7,tunisieannonce,500000.0,,,Hammamet,TUNIS,north,Sale,Land,2026-03-26T16:11:04.190954,new,,,70
1943,tunisieannonce_fa2abe49f6b4,tunisieannonce,537000.0,600.0,,Utique,TUNIS,north,Sale,Land,2026-03-26T16:11:12.237358,new,,,90
1811,tunisieannonce_8ce9d73294cb,tunisieannonce,500.0,,1.0,Bir Bouregba,TUNIS,north,Rent,Land,2026-03-26T16:11:23.296297,new,,,85
1760,tunisieannonce_69a3507e2f9e,tunisieannonce,400000.0,520.0,,Cite El Bokri,TUNIS,north,Sale,Land,2026-03-26T16:11:33.534576,new,,,85
