month,listing_count,median_price,mean_price,p25_price,p75_price,median_price_per_m2,segment,transaction_type,property_type,region
2026-03-01,136,207500.0,357148.3455882353,,,1500.0,ARIANA,all,all,ARIANA
2026-03-01,158,213000.0,265623.17721518985,,,2548.3870967741937,Apartment,all,Apartment,all
2026-03-01,14,16750.0,140489.2857142857,,,213.33333333333334,BEJA,all,all,BEJA
2026-03-01,36,147500.0,260320.0,,,1317.3076923076924,BEN AROUS,all,all,BEN AROUS
2026-03-01,5,410000.0,312520.0,,,,BIZERTE,all,all,BIZERTE
2026-03-01,1,150000.0,150000.0,,,,Cite Oplympique,all,all,Cite Oplympique
2026-03-01,88,3500.0,69272.01136363637,,,23.076923076923077,Commercial,all,Commercial,all
2026-03-01,3,70000.0,65400.0,,,,GABES,all,all,GABES
2026-03-01,2,125512.5,125512.5,,,,GAFSA,all,all,GAFSA
2026-03-01,2,183000.0,183000.0,,,,JENDOUBA,all,all,JENDOUBA
2026-03-01,1,160000.0,160000.0,,,1000.0,Jardins d'el Me,all,all,Jardins d'el Me
2026-03-01,2,3425.0,3425.0,,,,Jardins de Cart,all,all,Jardins de Cart
2026-03-01,1,250000.0,250000.0,,,44.96402877697842,KAIROUAN,all,all,KAIROUAN
2026-03-01,1,160000.0,160000.0,,,451.97740112994353,KASSERINE,all,all,KASSERINE
2026-03-01,1,1300.0,1300.0,,,,KEBILI,all,all,KEBILI
2026-03-01,3,15000.0,141333.33333333334,,,,KEF,all,all,KEF
2026-03-01,1,227500.0,227500.0,,,,Khaznadar,all,all,Khaznadar
2026-03-01,138,250827.0,397018.5869565217,,,522.6474123711341,Land,all,Land,all
2026-03-01,3,1500.0,117666.66666666667,,,,MAHDIA,all,all,MAHDIA
2026-03-01,10,290000.0,293995.7,,,2144.097222222222,MANNOUBA,all,all,MANNOUBA
2026-03-01,3,78000.0,199333.33333333334,,,250.0,MEDENINE,all,all,MEDENINE
2026-03-01,1,490000.0,490000.0,,,,MONASTIR,all,all,MONASTIR
2026-03-01,1,6000.0,6000.0,,,,Marsa Ennassim,all,all,Marsa Ennassim
2026-03-01,1,3000.0,3000.0,,,,Marsa Safsaf,all,all,Marsa Safsaf
2026-03-01,53,258848.0,320628.58490566036,,,2604.1666666666665,NABEUL,all,all,NABEUL
2026-03-01,54,57500.0,133189.33333333334,,,1141.025641025641,Other,all,Other,all
2026-03-01,174,2300.0,22353.816091954024,,,15.882352941176471,Rent,Rent,all,all
2026-03-01,7,80000.0,145892.85714285713,,,,SFAX,all,all,SFAX
2026-03-01,1,18500.0,18500.0,,,,SIDI BOUZID,all,all,SIDI BOUZID
2026-03-01,1,350000.0,350000.0,,,,SILIANA,all,all,SILIANA
2026-03-01,19,287000.0,264519.4210526316,,,992.589819004525,SOUSSE,all,all,SOUSSE
2026-03-01,375,279000.0,399797.304,,,2621.270848015034,Sale,Sale,all,all
2026-03-01,1,250000.0,250000.0,,,,TATAOUINE,all,all,TATAOUINE
2026-03-01,185,5800.0,258763.8,,,23.98809523809524,TUNIS,all,all,TUNIS
2026-03-01,111,245000.0,394309.5945945946,,,1511.820588235294,Villa,all,Villa,all
2026-03-01,3,200000.0,157833.33333333334,,,,ZAGHOUAN,all,all,ZAGHOUAN
2026-03-01,1,1200.0,1200.0,,,,Zone urbaine no,all,all,Zone urbaine no
2026-03-01,549,125000.0,280170.4061930783,2500.0,370000.0,531.5608247422681,all,all,all,all
