ds,yhat,yhat_lower,yhat_upper
2021-01-01,6.21960154785893,5.977136903858708,6.452821641162987
2021-02-01,6.248003617791399,6.027238461362958,6.488928381068256
2021-03-01,6.137023147759412,5.884099019518064,6.36106468450545
2021-04-01,6.13646430526382,5.902193698329225,6.37769479235359
2021-05-01,6.255700176185634,6.026548613660449,6.492028339403642
2021-06-01,6.2561661953430105,6.020051625019896,6.48476628340358
2021-07-01,6.252977107649724,6.021732575658403,6.500313773640843
2021-08-01,6.248408109470662,5.9975251433763335,6.489657203095506
2021-09-01,6.243748704008944,6.001557387905046,6.485874062595325
2021-10-01,6.280436863741126,6.0353970327952835,6.514104491132182
2021-11-01,6.282607520940927,6.043694495079677,6.5181605271063665
2021-12-01,6.288499516790735,6.045220593294254,6.552759827277681
2022-01-01,6.320423644583081,6.089684662982725,6.549155401133428
2022-02-01,6.420751258812292,6.185198574553302,6.662619747293641
2022-03-01,6.429444141364056,6.196222757029017,6.679592401836054
2022-04-01,6.479807035554201,6.249764742227238,6.704258830653343
2022-05-01,6.767906561451549,6.524330337821259,7.007480785607892
2022-06-01,6.863563956580699,6.622914386936829,7.096631297431086
2022-07-01,6.961034003601928,6.721509438753468,7.202435764125668
2022-08-01,7.063722074109017,6.827975388568551,7.313879965641347
2022-09-01,7.166429813803766,6.928124798145186,7.415057071553248
2022-10-01,7.32991914357977,7.08950714044592,7.573870539973909
2022-11-01,7.423210337702012,7.186728360655743,7.671064550296746
2022-12-01,7.506744973096688,7.254246794851163,7.7337515956046685
2023-01-01,7.715229683077026,7.4696539880387425,7.9487064716794125
2023-02-01,7.777079345229035,7.555916695211253,8.007812507354696
2023-03-01,7.806025086157132,7.556051516493374,8.063767050848787
2023-04-01,7.79803677748921,7.564506231885888,8.024036429420127
2023-05-01,8.041927806315087,7.796175124555138,8.30054345869034
2023-06-01,8.011438846906245,7.77733489023438,8.236451352735239
2023-07-01,7.995895001082329,7.754754447740983,8.215215679712076
2023-08-01,7.9851765300221125,7.7564695327340125,8.219130686268798
2023-09-01,7.974737032715737,7.748516668215701,8.232978775967272
2023-10-01,8.05111062591535,7.806339074658332,8.27442175348487
2023-11-01,8.014327846705328,7.7779297467154604,8.247160827396192
2023-12-01,7.962876854127887,7.725300664260614,8.194112398911868
2024-01-01,8.126927659740405,7.882973052827752,8.371702461550818
2024-02-01,8.038537627180247,7.776703533790778,8.27797802984568
2024-03-01,7.922129089260957,7.67541993138717,8.16796116394608
2024-04-01,7.979898850805966,7.742378579830474,8.189752987820023
2024-05-01,8.017368656217911,7.790378377276577,8.247524350062688
2024-06-01,8.011420508818189,7.770849889827632,8.246222448423385
2024-07-01,7.993985842543546,7.757347408774771,8.243602865025002
2024-08-01,7.971591333041145,7.731907431429371,8.219027700086318
2024-09-01,7.949040473044991,7.715432654480776,8.183858465583851
2024-10-01,7.944958908734729,7.695955969481208,8.16071277348931
2024-11-01,7.944683315098678,7.712036304689032,8.155377122955823
2024-12-01,7.960097799827705,7.729222413607582,8.206529580197666
2025-01-01,7.864749377818196,7.648313743056823,8.097212990120491
2025-02-01,7.8327177506615655,7.594856763139317,8.064408368735958
2025-03-01,7.667151047121842,7.43645783299009,7.897185760551617
2025-04-01,7.60615744053029,7.37311458640524,7.836855315777382
2025-05-01,7.666908055875502,7.416634275696588,7.897184931417647
2025-06-01,7.60693931064562,7.381148380389467,7.8463705726875235
2025-07-01,7.545264967094311,7.307282692368669,7.7670857824219794
2025-08-01,7.4802611932058225,7.255441811313129,7.707041405316717
2025-09-01,7.415167012035281,7.196529758235164,7.659541044510936
2025-10-01,7.393350609223222,7.142520206794191,7.6371763909652515
2025-11-01,7.335066551794258,7.103276320486798,7.5741736990896635
2025-12-01,7.282426579520182,7.0463387932536925,7.53152478208354
2026-01-01,7.25386767358448,7.010137380424683,7.494195980897535
2026-02-01,7.183953585014757,6.9590410775353435,7.422112434429136
2026-03-01,7.03887976826355,6.812926087883892,7.261015162690802
2026-04-01,6.918921573986037,6.689382409646925,7.144866374782401
2026-05-01,7.042194240075621,6.806275220387952,7.289985606230121
2026-06-01,6.967530538493188,6.71394903291699,7.211758961144602
2026-07-01,6.900173717729048,6.640669630895471,7.16403424303182
2026-08-01,6.83254069811695,6.543962564599747,7.105668055080219
2026-09-01,6.764927347691799,6.449227019526679,7.061529127098251
2026-10-01,6.7635898227352245,6.420658532020792,7.092946285659213
2026-11-01,6.686559933633714,6.324376564977113,7.020255201193304
2026-12-01,6.605267704918582,6.174677458398384,7.021951318301213
2027-01-01,6.643431321985443,6.1696652932035185,7.06156918849278
2027-02-01,6.5349599005574746,6.014627772313191,7.050578595642275
2027-03-01,6.410070374257308,5.8306851466138045,6.920288573274355
