date,indicator,value,source,unit
2021-06-01,taux_directeur,6.25,BCT,%
2021-06-01,tmm,6.26,BCT,%
2021-07-01,ipc_general_ins,6.4,INS,%
2021-07-01,ipim,3.7,INS,index_2015=100
2021-07-01,taux_directeur,6.25,BCT,%
2021-07-01,tmm,6.29,BCT,%
2021-08-01,ipc_general_ins,6.2,INS,%
2021-08-01,taux_directeur,6.25,BCT,%
2021-08-01,tmm,6.26,BCT,%
2021-09-01,ipc_general_ins,6.2,INS,%
2021-09-01,taux_directeur,6.25,BCT,%
2021-09-01,tmm,6.25,BCT,%
2021-10-01,ipc_general_ins,6.3,INS,%
2021-10-01,ipim,0.6,INS,index_2015=100
2021-10-01,taux_directeur,6.25,BCT,%
2021-10-01,tmm,6.24,BCT,%
2021-11-01,ipc_general_ins,6.4,INS,%
2021-11-01,taux_directeur,6.25,BCT,%
2021-11-01,tmm,6.25,BCT,%
2021-12-01,ipc_general_ins,6.6,INS,%
2021-12-01,taux_directeur,6.25,BCT,%
2021-12-01,tmm,6.25,BCT,%
2022-01-01,chomage_rate,15.3,WorldBank,%
2022-01-01,inflation_rate,8.30646124447623,WorldBank,%
2022-01-01,ipc_general_ins,6.7,INS,%
2022-01-01,pib_courant,139444500000.0,WorldBank,TND
2022-01-01,taux_directeur,6.25,BCT,%
2022-01-01,tmm,6.19,BCT,%
2022-01-01,tnd_eur,3.2611,WorldBank,TND/EUR
2022-01-01,tnd_usd,3.1049,WorldBank,TND/USD
2022-01-01,tunindex,905028.0,BVMT,points
2022-01-01,tunindex_immo,20.0,BVMT,points
2022-02-01,taux_directeur,6.25,BCT,%
2022-02-01,tmm,6.25,BCT,%
2022-02-01,tunindex,905028.0,BVMT,points
2022-02-01,tunindex_immo,20.0,BVMT,points
2022-03-01,ipc_general_ins,7.2,INS,%
2022-03-01,taux_directeur,6.25,BCT,%
2022-03-01,tmm,6.26,BCT,%
2022-03-01,tunindex,905028.0,BVMT,points
2022-03-01,tunindex_immo,20.0,BVMT,points
2022-04-01,ipc_general_ins,7.5,INS,%
2022-04-01,taux_directeur,6.25,BCT,%
2022-04-01,tmm,6.26,BCT,%
2022-04-01,tunindex,905028.0,BVMT,points
2022-04-01,tunindex_immo,20.0,BVMT,points
