id,listing_id,region,nature,type,description,price,price_text,date_modified,url,scraped_at,data_quality_score
379,1020116,Cite Ennouzha,Vente,App. 4 pièc,Joli villa à cité ennouz,620000.0,620 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020116,2026-02-16T13:35:20.542864,100.0
380,1150711,Khazroun,Terrain,Terrain nu,Terrain à djerba midoun,470000.0,470 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11507&rech_cod_loc=1150711,2026-02-16T13:35:20.542864,100.0
356,1010808,El Manar 2,Location,Maisons,S2 meublée a manar 2,1500.0,1 500,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010808,2026-02-16T13:35:09.620478,100.0
357,1210409,El Kantaoui,Bureaux & Commer,Surfaces,Local commercial sur,400000.0,400 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=12104&rech_cod_loc=1210409,2026-02-16T13:35:09.620478,100.0
362,1010813,El Menzah 9,Terrain,Terrain nu,Terrain à el menzah 9,1250000.0,1 250 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010813,2026-02-16T13:35:09.620478,100.0
337,1071007,Sidi Aich,Terrain,Terrain agr,Terrain agricole guy,1350000.0,1 350 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10710&rech_cod_loc=1071007,2026-02-16T13:35:06.883204,100.0
342,1020403,Charguia 1,Terrain,Terrain nu,Terrain à la charguia 1,3005600.0,3 005 600,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10204&rech_cod_loc=1020403,2026-02-16T13:35:06.883204,100.0
344,1010809,El Menzah 1,Vente,Maisons,Terrain à el menzah,1950000.0,1 950 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010809,2026-02-16T13:35:06.883204,100.0
346,1040101,Bizerte,Terrain,Terrain nu,Terrain promoteur ta,800000.0,800 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10401&rech_cod_loc=1040101,2026-02-16T13:35:06.883204,100.0
327,1170905,Cite Afh,Vente,App. 4 pièc,V592 appartement elie mr,680000.0,680 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11709&rech_cod_loc=1170905,2026-02-16T13:35:06.882205,100.0
328,1020123,El Menzah 5,Bureaux & Commer,Bureau,Plateau des bureaux pren,7000.0,7 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020123,2026-02-16T13:35:06.882205,100.0
330,1210502,Hergla,Vente,Surfaces,Belle terrain 430m2 herg,559000.0,559 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=12105&rech_cod_loc=1210502,2026-02-16T13:35:06.882205,100.0
295,1010812,El Menzah 4,Location,App. 4 pièc,S3 menzah 4 2300d,2300.0,2 300,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010812,2026-02-16T13:35:01.832006,100.0
283,1010814,Mutuelle Ville,Location,Maisons,Villa mutuelle ville hab,5000.0,5 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010814,2026-02-16T13:35:01.831008,100.0
