id,listing_id,region,nature,type,description,price,price_text,date_modified,url,scraped_at,data_quality_score
245,1010409,Zone urbaine no,Bureaux & Commer,Bureau,Bureau h4 1600 d centre,1600.0,1 600,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10104&rech_cod_loc=1010409,2026-02-16T13:34:14.293609,100.0
246,1010815,Tunis Belvedere,Location,Autre,Bureau sur l artère ched,,900,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010815,2026-02-16T13:34:14.293609,80.0
247,1010403,Cite Jardins,Location,Autre,Immeuble bureautique 3 n,24000.0,24 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10104&rech_cod_loc=1010403,2026-02-16T13:34:14.293609,100.0
248,1011734,El Aouina,Location,App. 2 pièc,Appartement s1 à la nouv,1100.0,1 100,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011734,2026-02-16T13:34:14.293609,100.0
249,1020405,Chotrana 1,Location,App. 2 pièc,Rez de chaussée s2 meuble sui,,850,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10204&rech_cod_loc=1020405,2026-02-16T13:34:14.293609,80.0
250,1010808,El Manar 2,Location,Autre,Villa 9 pièces usg burea,3900.0,3 900,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10108&rech_cod_loc=1010808,2026-02-16T13:34:14.293609,100.0
234,1012202,Ain Zaghouan,Location,App. 3 pièc,Appartement s2 neuf jama,1900.0,1 900,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10122&rech_cod_loc=1012202,2026-02-16T13:34:14.292610,100.0
237,1171512,Soliman,Vente,Maisons,Villa avec pisine à slim,355000.0,355 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11715&rech_cod_loc=1171512,2026-02-16T13:34:14.292610,100.0
238,1012201,Jardins de Cart,Location,App. 5 pièc,Appt s4 de 155m2 aux jar,3000.0,3 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10122&rech_cod_loc=1012201,2026-02-16T13:34:14.292610,100.0
239,1020101,Ariana,Terrain,Terrain agr,Cité ennasr 600 m2 affai,160000.0,160 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020101,2026-02-16T13:34:14.292610,100.0
242,1011733,Sidi Daoud,Location,App. 2 pièc,Appartement s1 meublé à,1950.0,1 950,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011733,2026-02-16T13:34:14.292610,100.0
243,1020115,Cite Ennasr 2,Terrain,Terrain nu,Terrain côté cité ennasr,160000.0,160 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020115,2026-02-16T13:34:14.292610,100.0
244,1020114,Cite Ennasr 1,Location,App. 1 pièc,Bureau au centre cité en,,420,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10201&rech_cod_loc=1020114,2026-02-16T13:34:14.292610,80.0
229,1010304,Carthage,Location,Maisons,Villa s4 à carthage avec,6800.0,6 800,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10103&rech_cod_loc=1010304,2026-02-16T13:34:14.291611,100.0
231,1020448,La Soukra,Location,App. 3 pièc,Appartement s2 a la souk,1450.0,1 450,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10204&rech_cod_loc=1020448,2026-02-16T13:34:14.291611,100.0
232,1011731,Marsa Erriadh,Location,App. 2 pièc,Rez de chaussée d'une maison,,600,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011731,2026-02-16T13:34:14.291611,80.0
233,1030201,Bou Mhel,Location,App. 1 pièc,Un appart s1 hst à boum,,850,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10302&rech_cod_loc=1030201,2026-02-16T13:34:14.291611,80.0
218,1011701,Berge Du Lac,Location,App. 3 pièc,Appart meuble lac2,3900.0,3 900,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011701,2026-02-16T13:34:11.276796,100.0
219,1011732,Marsa Safsaf,Location,Maisons,Villa jumelée cube,8000.0,8 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011732,2026-02-16T13:34:11.276796,100.0
222,1011735,Marsa Ennassim,Location,Maisons,Villa s4 avec piscine co,6000.0,6 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011735,2026-02-16T13:34:11.276796,100.0
223,1030427,Ezzahra,Location,App. 2 pièc,Studio s1 à ezzahra,,131,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10304&rech_cod_loc=1030427,2026-02-16T13:34:11.276796,80.0
224,1011712,Cite Du Stade,Location,App. 4 pièc,Appartement s3 a la mars,3000.0,3 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=10117&rech_cod_loc=1011712,2026-02-16T13:34:11.276796,100.0
210,1140501,Denden,Location,App. 2 pièc,Studio vides,,400,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11405&rech_cod_loc=1140501,2026-02-16T13:34:11.275797,80.0
213,1170940,Hammamet,Vente,Maisons,Villa domino,790000.0,790 000,16/02/2026,http://www.tunisie-annonce.com/AnnoncesImmobilier.asp?rech_cod_pay=TN&rech_cod_vil=11709&rech_cod_loc=1170940,2026-02-16T13:34:11.275797,100.0
