ds,yhat,yhat_lower,yhat_upper
2026-04-01,5.291136623117921,3.9371251913888807,6.675458024103203
2026-05-01,4.866867815703759,3.541309850990836,6.227525394355578
2026-06-01,5.0096277201652635,3.639232917917828,6.3447456143257215
2026-07-01,5.158405913689459,3.8676662388089467,6.560709378991471
2026-08-01,4.324269849301452,2.847207740738098,5.647025061876141
2026-09-01,4.396262143201674,3.055187720491543,5.738433873016336
2026-10-01,4.754481826170026,3.4379515062965607,6.121968011552918
2026-11-01,4.497697931020044,3.126371059064842,5.829429920214932
2026-12-01,4.337858196534007,3.064983618034385,5.7227567568619815
2027-01-01,4.229999403330523,2.868678397330648,5.534437972211515
2027-02-01,4.30777996854375,3.006248887823147,5.753850498120276
2027-03-01,4.065805052910569,2.6957826544571066,5.382998441000839
2027-04-01,4.408869951841654,3.0355813631210595,5.869008274568403
2027-05-01,3.8427621761730344,2.5039818259545177,5.191483737312651
2027-06-01,4.051046924959562,2.6874603778151127,5.3961064227287245
2027-07-01,4.512974411253039,3.217801738165456,5.9841816791552205
2027-08-01,3.0168149421692902,1.612599950804068,4.419708450910864
2027-09-01,3.090874589385243,1.6174781854593128,4.442542315059845
2027-10-01,3.9892315222807,2.6207918108930266,5.397803863321194
2027-11-01,3.589311022077643,2.1975164929708773,4.910315283978041
2027-12-01,3.3399291319887983,1.96395894517383,4.8085027182952365
2028-01-01,3.3320810396961336,2.0042085910841076,4.752608740324535
2028-02-01,3.2391077844150917,1.8360382895141927,4.591964955229339
2028-03-01,3.5831926607228604,2.1077982751379927,4.9361021269029886
2028-04-01,3.081332701361673,1.5546034987258825,4.515410553635079
2028-05-01,2.934717159470898,1.4645333582880418,4.468190547888416
2028-06-01,2.953110184828921,1.4240813031000548,4.294983104562119
2028-07-01,2.445148820376124,1.027743752685274,3.928896983695941
2028-08-01,2.928715963220357,1.64703055463568,4.384505110312578
2028-09-01,3.040447172599536,1.5606218939044465,4.390749057484658
2028-10-01,2.320919675931073,0.7902166508457413,3.880266313639999
2028-11-01,2.3280632687827687,0.7316902727708595,3.83861517514865
2028-12-01,2.346440763041994,0.8739337863994284,3.947124728051781
2029-01-01,2.033733931687622,0.6069337952284318,3.508580720520561
2029-02-01,2.4486925932855184,0.8540934714860774,3.8796677427702693
2029-03-01,2.4132817937330433,0.8322687991185245,3.9793122281714024
2029-04-01,2.192560706844643,0.5984536624594775,3.8281404675590816
2029-05-01,1.908136767494334,0.38423385750761513,3.4411408199616504
2029-06-01,1.9875594413754905,0.32913370610387394,3.634202606774906
2029-07-01,1.8129774737265634,0.30290169675057893,3.4430576169611427
2029-08-01,1.6389775576655907,-0.014669582125846646,3.3187892352642
2029-09-01,1.7235459038313683,0.09930407988089744,3.3486650426568505
2029-10-01,1.5422685701603431,-0.04008709030643479,3.214585172035299
2029-11-01,1.4211824583509312,-0.312141731740246,3.0372446627819096
2029-12-01,1.3506318229799952,-0.32517353815351185,2.974548617678813
2030-01-01,1.1411417239313721,-0.5133523277401342,2.7974053343819216
2030-02-01,1.3882986462404248,-0.3461420372644908,3.065421569800376
2030-03-01,1.2460635297210703,-0.33597184470759794,2.958388624966403
2030-04-01,1.3070732106351968,-0.44361896551844526,3.0676339896936926
2030-05-01,0.8828044032185456,-0.8973233747656039,2.6742893047114085
2030-06-01,1.02556430768064,-0.7792443288746451,2.8305336432116963
2030-07-01,1.1743425012071174,-0.6641729038157,3.028310304140413
2030-08-01,0.34020643681532753,-1.3952305268159597,2.2497908593313145
