ds,yhat,yhat_lower,yhat_upper
2026-04-01,7.042152923141906,6.8842933953673064,7.2006962055216555
2026-05-01,6.988733021980856,6.830955647409288,7.138970556098178
2026-06-01,6.933532457447772,6.772881056439168,7.105869366438746
2026-07-01,6.880112556286721,6.71633322660999,7.053820841928177
2026-08-01,6.824911991753637,6.653258830680825,6.991196724513583
2026-09-01,6.769711427220552,6.56506059908813,6.952186675022056
2026-10-01,6.716291526059502,6.510635442388769,6.932229429713818
2026-11-01,6.661090961526417,6.442852527773599,6.894323225887458
2026-12-01,6.607671060365368,6.355750041209026,6.848263804958179
2027-01-01,6.552470495832283,6.272636398547804,6.839018053124334
2027-02-01,6.497269931299199,6.192048079499034,6.8142553442632785
2027-03-01,6.447411356882219,6.10093986504206,6.772945260770135
2027-04-01,6.392210792349134,6.0303795653312,6.770099114985206
2027-05-01,6.338790891188085,5.924987737755084,6.755767671177775
2027-06-01,6.283590326655,5.861114084053415,6.722124541781749
2027-07-01,6.2301704254939505,5.732851189969753,6.708951330211737
2027-08-01,6.174969860960865,5.632045927731361,6.698017034871059
2027-09-01,6.119769296427781,5.543254132370876,6.669083345146191
2027-10-01,6.066349395266732,5.426966745703983,6.651283857025934
2027-11-01,6.011148830733647,5.322574062599218,6.653210813847765
2027-12-01,5.957728929572597,5.241624683040378,6.6720350654293386
2028-01-01,5.902528365039513,5.125702707075748,6.671545321293911
2028-02-01,5.847327800506427,4.985752416865355,6.647733813454107
2028-03-01,5.795688562717412,4.902084378062138,6.623541914422628
2028-04-01,5.740487998184328,4.789245255893065,6.650720836311878
2028-05-01,5.687068097023278,4.69772933017001,6.683689715072092
2028-06-01,5.631867532490194,4.625151304612586,6.605581759959318
2028-07-01,5.578447631329144,4.456552872545742,6.642445789505939
2028-08-01,5.523247066796059,4.362818563839723,6.620270257304561
2028-09-01,5.4680465022629745,4.25360098274469,6.614908715662673
2028-10-01,5.414626601101925,4.113209037132712,6.675286741027891
2028-11-01,5.35942603656884,4.004223080785783,6.650887658368136
2028-12-01,5.306006135407791,3.8724622591768343,6.653611651436262
2029-01-01,5.2508055708747055,3.7887618414904356,6.631322826084969
2029-02-01,5.195605006341621,3.6475945757060853,6.688356633909719
2029-03-01,5.145746431924642,3.571399174782674,6.670206977807757
2029-04-01,5.0905458673915565,3.4642357484219506,6.697268975082152
2029-05-01,5.037125966230508,3.2971173911319926,6.746343770904593
2029-06-01,4.981925401697422,3.137744925707218,6.69774011002933
2029-07-01,4.928505500536374,3.0198933427413923,6.676690162518829
2029-08-01,4.873304936003288,2.9326793387583647,6.699275958918588
2029-09-01,4.818104371470203,2.7516233355715287,6.740666431197905
2029-10-01,4.764684470309154,2.703127884935553,6.757976977318614
2029-11-01,4.709483905776069,2.5696322246089713,6.741621044175585
2029-12-01,4.65606400461502,2.4083722905301768,6.797239579440263
