id,ipim_type,property_type,price,currency,city,municipality,region,surface,rooms,price_per_m2,latitude,longitude,reliability_score,reliability_level,is_outlier,scraped_at,last_updated
newkey:newkey_118880,maison,villa,1820.0,TND,Maison / Villa,,,,,,,,10.0,DROP,True,2026-04-06 09:30:46.748365+00,2026-04-09 15:39:08.772383+00
newkey:newkey_119230,appartement,apartment,,TND,Appartement,سيدي محرصي,TUNIS,,,,36.4360619,10.7045291,40.0,LOW,False,2026-03-26 15:56:18.076466+00,2026-04-09 15:39:10.51609+00
newkey:newkey_119602,appartement,apartment,730000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,45.0,LOW,False,2026-04-01 19:49:22.844862+00,2026-04-09 15:39:08.677712+00
newkey:newkey_119629,appartement,apartment,290000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-01 19:49:07.009411+00,2026-04-09 15:39:10.419881+00
newkey:newkey_119690,appartement,apartment,300000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-01 19:49:54.232267+00,2026-04-09 15:39:08.726752+00
newkey:newkey_119867,appartement,apartment,320000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-01 19:48:59.50151+00,2026-04-09 15:39:09.473453+00
newkey:newkey_119886,terrain,land,1574.0,TND,Terrain,,,,,,36.8326074,10.0984587,20.0,DROP,True,2026-04-01 19:48:36.085468+00,2026-04-09 15:39:07.264033+00
newkey:newkey_120100,appartement,apartment,580000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,45.0,LOW,False,2026-04-01 19:48:29.006825+00,2026-04-09 15:39:11.110166+00
newkey:newkey_120147,appartement,apartment,260000.0,TND,Appartement,Hammamet Est,,,,,36.4019341,10.6121188,15.0,DROP,False,2026-04-01 19:48:13.252146+00,2026-04-09 15:39:09.945797+00
newkey:newkey_120186,terrain,land,,TND,Maison / Villa,الهوارية,,,,,37.0565576,11.0104527,25.0,LOW,False,2026-04-01 19:48:07.160854+00,2026-04-09 15:39:08.327114+00
newkey:newkey_120230,terrain,land,,TND,Maison / Villa,الهوارية,,,,,37.0565576,11.0104527,25.0,LOW,False,2026-04-01 19:47:50.523285+00,2026-04-09 15:39:10.711475+00
