"lat","lon","radius","data","cached_at"
"36.8305","10.1969","750","[{""name"": ""\u0628\u064a \u0625\u0645 \u062f\u0628\u0644\u064a\u0648"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u062d\u064a \u0627\u0644\u062e\u0636\u0631\u0627\u0621"", ""category"": ""transport"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0645\u0631\u0643\u0632 \u0627\u0644\u0645\u0646\u062f\u0645\u062c \u0644\u0644\u0634\u0628\u0627\u0628 \u0648\u0627\u0644\u0637\u0641\u0648\u0644\u0629 \u0628\u0627\u0644\u062e\u0636\u0631\u0627\u0621"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""NafNaf"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0645\u0635\u062d\u0629 \u0627\u0628\u0646 \u0632\u0647\u0631"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""MyTek"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0645\u0642\u0647\u0649 \u0627\u0644\u0631\u064a\u062d\u0627\u0646\u0629"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u062c\u064a\u062c\u064a \u0643\u0643\u0632"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Khmais"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Le Bon Gout"", ""category"": ""restaurant"", ""distance_m"": null}]","2026-03-23 15:27:33"
"36.8612","10.1339","750","[{""name"": ""\u0645\u0648\u0646\u0648\u0628\u0631\u064a"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0646\u0647\u0627\u064a\u0629 \u062e\u0637 38 \u062a"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0645\u0627\u0631\u0643\u064a\u0631"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u062d\u064a \u0627\u0644\u062f\u0631\u064a\u062f\u064a"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 15:28:28"
"36.8645","10.2722","750","[{""name"": ""Harzallah In\u00e8s Ep Louati"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""\u0645\u0648\u0646\u0648\u0628\u0631\u064a"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0643\u0627\u0631\u0641\u0648\u0631 \u0625\u0643\u0633\u0628\u0631\u064a\u0633"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0627\u0633\u0645\u0627\u0643 \u0627\u0644\u0628\u062d\u0631 \u0627\u0644\u0627\u0628\u064a\u0636 \u0627\u0644\u0645\u062a\u0648\u0633\u0637"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0645\u062c\u0632\u0631\u0629 \u062d\u0633\u0627\u0646"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0639\u0632\u064a\u0632\u0629"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Pharmacie Darghouth"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Orthomed Sant\u00e9"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0645\u0637\u0639\u0645 \u0627\u0644\u062e\u064a\u0645\u0629 \u0644\u0644\u0645\u0623\u0643\u0648\u0644\u0627\u062a \u0627\u0644\u0644\u064a\u0628\u064a\u0629"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0643\u0648\u064a\u062c\u064a\u0646\u0629"", ""category"": ""restaurant"", ""distance_m"": null}]","2026-03-23 15:28:33"
"36.4561","10.7358","750","[{""name"": ""Nabeul centre"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Canari"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Banette"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Spiritiueux"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""MG City"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Anouar Market"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Le Bon Kif"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Mytek Nabeul"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Zen"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Chaussures Najoua pour enfants"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 17:25:52"
"36.9209","10.1371","750","[]","2026-03-23 17:41:59"
"34.7313","10.6698","750","[{""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0647\u0627\u062f\u064a\u0629 \u0627\u0644\u0635\u0627\u0645\u062a"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0641\u0627\u0637\u0645\u0629 \u0639\u0645\u0627\u0631"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""\u0645\u0642\u0647\u0649 \u0623\u0645\u064a\u0642\u0648\u0633"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u0642\u0647\u0649 \u0627\u0644\u0643\u0648\u0646\u064a"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u0634\u0648\u064a \u0639\u0644\u0648\u0634 \u0648\u062f\u0631\u0627\u0646"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u0642\u0647\u0649 \u0627\u0644\u062c\u0631\u0628\u0648\u0639\u064a"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0642\u0631\u0645\u0627\u0632\u064a"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Cit\u00e9 Riadh"", ""category"": ""other"", ""distance_m"": null}]","2026-03-23 18:48:19"
"35.8504","10.5952","750","[{""name"": ""Lyc\u00e9e Hammam Sousse 2"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""Centre de formation professionel"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""Lyc\u00e9e Hammam Sousse"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""Sousse-Sahloul"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Sousse-Sahloul"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Sousse-Sahloul (Arret Souk)"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Journal"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Boulangerie Daghrir"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Oisellerie"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 18:49:53"
"36.8917","10.3116","750","[{""name"": ""sahbani"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Caf\u00e9taria BelHsen"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Le Pain Chaud"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Ben Mehrez"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0639\u0632\u064a\u0632\u0629"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Ooredoo"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Elyes"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Chez Monji"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Amir"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u0645\u0632\u0631\u0639\u0629"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 18:50:10"
"36.4025","10.1431","750","[{""name"": ""المدرسة الإعدادية شارع الاستقلال"", ""category"": ""school"", ""distance_m"": 103.8}, {""name"": ""لاجوكندا"", ""category"": ""restaurant"", ""distance_m"": 104.7}, {""name"": ""كروة"", ""category"": ""restaurant"", ""distance_m"": 203.4}, {""name"": ""ناينتيز"", ""category"": ""restaurant"", ""distance_m"": 266.7}, {""name"": ""المدرسة الابتدائية ابن خلدون"", ""category"": ""school"", ""distance_m"": 292.7}, {""name"": ""إم جي بركسي"", ""category"": ""shopping"", ""distance_m"": 387.3}, {""name"": ""كارفور إكسبريس"", ""category"": ""shopping"", ""distance_m"": 413.0}, {""name"": ""ميلانو"", ""category"": ""restaurant"", ""distance_m"": 418.2}, {""name"": ""Station de Louages Zaghouan"", ""category"": ""transport"", ""distance_m"": 476.6}, {""name"": ""الكهف"", ""category"": ""restaurant"", ""distance_m"": 478.0}]","2026-03-24 10:25:32"
"34.7392","10.5258","750","[{""name"": ""حديقة عبد القادر الجزايري"", ""category"": ""leisure"", ""distance_m"": 151.6}, {""name"": ""المدرسة الإعدادية حليمة الشعبوني"", ""category"": ""school"", ""distance_m"": 176.7}, {""name"": ""معهد عقارب"", ""category"": ""school"", ""distance_m"": 195.6}, {""name"": ""صيدلية منى الكشو حرم المهيري"", ""category"": ""hospital"", ""distance_m"": 214.8}, {""name"": ""حديقة حي الخضراء"", ""category"": ""leisure"", ""distance_m"": 217.2}, {""name"": ""حديقة جميلة بو حيدر"", ""category"": ""leisure"", ""distance_m"": 237.7}, {""name"": ""مقهى بوديم"", ""category"": ""restaurant"", ""distance_m"": 262.2}, {""name"": ""المدرسة الابتدائية 2 مارس 1934"", ""category"": ""school"", ""distance_m"": 276.8}, {""name"": ""صيدلية الليل أسامة كريشان"", ""category"": ""hospital"", ""distance_m"": 277.2}, {""name"": ""المستشفى المحلي عقارب"", ""category"": ""hospital"", ""distance_m"": 296.8}]","2026-03-24 10:26:56"
