"lat","lon","radius","data","cached_at"
"36.8791","10.2656","750","[{""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0644\u064a\u0644"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""\u0635\u064a\u062f\u0644\u064a\u0629 \u0627\u0644\u0644\u064a\u0644"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u062c\u0627\u0645\u0639 \u0633\u064a\u062f\u064a \u0641\u0631\u062c"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0633\u0643\u0631\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""P\u00e9pinni\u00e8re"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:08:51"
"36.8763","10.2582","750","[{""name"": ""\u062c\u0627\u0645\u0639 \u0633\u064a\u062f\u064a \u0641\u0631\u062c"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0633\u0643\u0631\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""P\u00e9pinni\u00e8re"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:09:48"
"36.8525","10.2965","750","[{""name"": ""Pharmacie Olfa Znazen"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Chic Optic"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Let's Wash"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Goomba's Pizza"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""WIS cr\u00e9a print"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Jardins de Carthage"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0628\u0627\u0631\u064a\u0633\u062a\u0627\u0633 \u062d\u062f\u0627\u0626\u0642 \u0642\u0631\u0637\u0627\u062c"", ""category"": ""restaurant"", ""distance_m"": null}]","2026-03-23 14:09:53"
"36.4421","10.6945","750","[{""name"": ""Studio 55"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u00cal wafa market"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Zen"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:11:00"
"36.8557","10.2558","750","[{""name"": ""Boulangerie P\u00e2tisserie Bhar"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Yagouta"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u0648\u0646\u0648\u0628\u0631\u064a"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Coiffeur Chez Karim"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Caf\u00e9 Mosai"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0645\u062e\u0628\u0632\u0629 \u0645\u0631\u0637\u0628\u0627\u062a"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Restaurant NasrALLAH"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Superette Karim"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""L'entracte"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Salsa"", ""category"": ""restaurant"", ""distance_m"": null}]","2026-03-23 14:11:02"
"36.8113","10.1806","750","[{""name"": ""\u0633\u0627\u062d\u0629 \u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0633\u0627\u062d\u0629 \u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0645\u062d\u0645\u062f \u0627\u0644\u062e\u0627\u0645\u0633"", ""category"": ""transport"", ""distance_m"": null}, {""name"": ""\u0633\u0627\u062d\u0629 \u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0646\u064a\u0644\u0633\u0648\u0646 \u0645\u0627\u0646\u062f\u064a\u0644\u0627"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0633\u0627\u062d\u0629 \u0627\u0644\u062c\u0645\u0647\u0648\u0631\u064a\u0629"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""\u0628\u0627\u0628 \u0627\u0644\u062e\u0636\u0631\u0627\u0621"", ""category"": ""other"", ""distance_m"": null}, {""name"": ""Caf\u00e9 des Banques"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""El Kenz"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u00c9picerie de Ghana"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:11:37"
"36.8471","10.1517","750","[{""name"": ""Centre X"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Centre Makni"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u00c9cole Primaire d'El Menzah 7"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""Foxy Soft"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Champion"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Avicenne Private Business School"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""Mabillon"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Lilla Arbia"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""FUEGO CAFE"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Emir Auto"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:11:40"
"36.8473","10.2745","750","[{""name"": ""Citezen ship"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Ephoria"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Break time"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Lake Side"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0627\u0644\u062c\u0627\u0645\u0639\u0629 \u0627\u0644\u0645\u062a\u0648\u0633\u0637\u064a\u0629 \u0644\u0644\u0623\u0639\u0645\u0627\u0644"", ""category"": ""school"", ""distance_m"": null}, {""name"": ""Macchiato"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Pizza am\u00e9ricaine"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""SO-BRITISH"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""716 Cafe"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u0643\u0627\u0631\u0641\u0648\u0631 \u0645\u0627\u0631\u0643\u062a"", ""category"": ""shopping"", ""distance_m"": null}]","2026-03-23 14:12:03"
"36.4252","10.6309","750","[]","2026-03-23 14:12:23"
"36.8392","10.1577","750","[{""name"": ""\u0643\u0648\u0644\u0632\u064a \u0635\u0648\u0644\u0629"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Centre Ines"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Brooklin"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Nomade"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""\u062f\u0644\u062a\u0627 \u0645\u062f\u064a\u0643\u0627\u0644"", ""category"": ""hospital"", ""distance_m"": null}, {""name"": ""Foxy Soft"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""Mabillon"", ""category"": ""restaurant"", ""distance_m"": null}, {""name"": ""Meublatex"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u0648\u0628\u0647\u0648\u0633\u062a\u064a\u0643\u0648"", ""category"": ""shopping"", ""distance_m"": null}, {""name"": ""\u00c9cole Primaire d'El Manar 3"", ""category"": ""school"", ""distance_m"": null}]","2026-03-23 14:12:39"
