source,source_listing_id,transaction,url,image_urls,title,price,currency,governorate,city,property_type,surface_m2,rooms,bathrooms,posted_at,scraped_at
mubawab,7928563,sale,https://www.mubawab.tn/fr/pa/7928563/vend-appartement-%C3%A0-les-jardins-de-carthage,,Vend appartement à Les Jardins de Carthage,419000.0,TND,,Le Kram,Apartment,70.0,2,2,,2026-02-14T12:37:14.903018
mubawab,7966175,sale,https://www.mubawab.tn/fr/pa/7966175/appartement-en-vente-%C3%A0-cit%C3%A9-el-ghazela,,Appartement en vente à Cité el Ghazela,270000.0,TND,,Raoued,Apartment,67.0,2,1,,2026-02-14T12:37:14.903018
mubawab,8106947,sale,https://www.mubawab.tn/fr/pa/8106947/s1-%E2%80%93-r%C3%A9sidence-l%E2%80%99ultime-projet-diar-rached,,S1 – Résidence L’ULTIME Projet Diar Rached,,,,Le Kram,Apartment,63.0,1,1,,2026-02-14T12:37:14.903018
mubawab,8232437,sale,https://www.mubawab.tn/fr/pa/8232437/joli-appartement-s1-%C3%A0-la-soukra,,Joli Appartement S1 à la Soukra,310000.0,TND,,La Soukra,Apartment,61.0,1,1,,2026-02-14T12:37:14.903018
mubawab,8241680,sale,https://www.mubawab.tn/fr/pa/8241680/s1-%C3%A0-vendre-%C3%A0-r%C3%A9sidence-mallorca-jardins-de-carthage,,S1 à vendre à Résidence Mallorca Jardins de Carthage,419300.0,TND,,Le Kram,Apartment,82.0,1,1,,2026-02-14T12:37:14.903018
mubawab,8243698,sale,https://www.mubawab.tn/fr/pa/8243698/s2-moderne-a-vendre,,S2 moderne a vendre,617200.0,TND,,La Marsa,Apartment,116.0,2,2,,2026-02-14T12:37:14.903018
mubawab,8257516,sale,https://www.mubawab.tn/fr/pa/8257516/appartement-de-tr%C3%A8s-haut-standing-a01-%C3%A0-vendre,,Appartement de très haut standing A01 à Vendre,686653.0,TND,,La Soukra,Apartment,94.0,2,2,,2026-02-14T12:37:14.903018
mubawab,8285365,sale,https://www.mubawab.tn/fr/pa/8285365/appartement-s3-avec-terrasse-de-42m%C2%B2-%C3%A0-vendre-%C3%A0-sidi-bousaid,,Appartement S3 avec Terrasse de 42m² à vendre à Sidi Bousaid,1194000.0,TND,,Carthage,Apartment,42.0,3,2,,2026-02-14T12:37:14.903018
mubawab,8286490,sale,https://www.mubawab.tn/fr/a/8286490/superbe-appartement-%C3%A0-vendre-%C3%A0-les-jardins-de-carthage-surface-totale-65-m%C2%B2-porte-blind%C3%A9e-et-chauffage-central,[],Superbe appartement à vendre à Les Jardins de Carthage. Surface totale 65 m². Porte blindée et chauffage central,390000.0,TND,,Le Kram,Apartment,65.0,1,1,,2026-02-14T12:58:24.432854
mubawab,8286496,sale,https://www.mubawab.tn/fr/a/8286496/vend-appartement-%C3%A0-les-jardins-de-carthage-surface-de-166-m%C2%B2-fen%C3%AAtres-double-vitrage-et-chauffage-central,[],Vend appartement à Les Jardins de Carthage. Surface de 166 m². Fenêtres double vitrage et chauffage central,831000.0,TND,,Le Kram,Apartment,166.0,3,2,,2026-02-14T12:58:24.432854
mubawab,8002406,sale,https://www.mubawab.tn/fr/pa/8002406/appartement-s0-en-vente-%C3%A0-ben-arous-superficie-51-m%C2%B2,[],Appartement S0 en vente à Ben Arous. Superficie 51 m²,,,,Nouvelle Medina,Apartment,51.0,1,1,,2026-02-14T12:58:24.432854
mubawab,8106984,sale,https://www.mubawab.tn/fr/pa/8106984/s3-neuf-r%C3%A9sidence-l%E2%80%99ultime-projet-diar-rached,[],S3 Neuf Résidence L’Ultime Projet Diar Rached,,,,Le Kram,Apartment,63.0,3,3,,2026-02-14T12:58:24.432854
mubawab,8293890,sale,https://www.mubawab.tn/fr/pa/8293890/appartement-%C3%A0-vendre-%C3%A0-les-jardins-de-carthage-2-chambres,[],Appartement à vendre à Les Jardins de Carthage. 2 chambres,,,,Le Kram,Apartment,88.0,2,2,,2026-02-14T12:58:24.432854
