ipim_type,zone,n_obs,zone_index,premium_pct,year,prix_m2,prix_m2_low,prix_m2_high,valeur_100m2,valeur_low,valeur_high
appartement,La Soukra,29,0.697,-30.3,2032,2715.9,2328.4,3103.4,271592.0,232844.0,310340.0
appartement,Nabeul,19,0.6482,-35.2,2026,2002.4,1852.9,2151.9,200240.0,185287.0,215194.0
appartement,Nabeul,19,0.6482,-35.2,2027,2089.6,1909.8,2269.4,208958.0,190976.0,226940.0
appartement,Nabeul,19,0.6482,-35.2,2028,2176.8,1964.5,2389.0,217676.0,196453.0,238898.0
appartement,Nabeul,19,0.6482,-35.2,2029,2263.9,2017.3,2510.5,226393.0,201735.0,251051.0
appartement,Nabeul,19,0.6482,-35.2,2030,2351.1,2068.3,2633.9,235111.0,206832.0,263389.0
appartement,Nabeul,19,0.6482,-35.2,2031,2438.3,2117.6,2759.0,243828.0,211756.0,275900.0
appartement,Nabeul,19,0.6482,-35.2,2032,2525.5,2165.2,2885.8,252546.0,216515.0,288576.0
appartement,Hammamet,19,0.5749,-42.5,2026,1775.9,1643.3,1908.5,177592.0,164330.0,190854.0
appartement,Hammamet,19,0.5749,-42.5,2027,1853.2,1693.8,2012.7,185324.0,169375.0,201272.0
appartement,Hammamet,19,0.5749,-42.5,2028,1930.6,1742.3,2118.8,193055.0,174233.0,211877.0
appartement,Hammamet,19,0.5749,-42.5,2029,2007.9,1789.2,2226.6,200787.0,178917.0,222656.0
appartement,Hammamet,19,0.5749,-42.5,2030,2085.2,1834.4,2336.0,208518.0,183438.0,233598.0
appartement,Hammamet,19,0.5749,-42.5,2031,2162.5,1878.1,2446.9,216250.0,187806.0,244694.0
appartement,Hammamet,19,0.5749,-42.5,2032,2239.8,1920.3,2559.4,223981.0,192026.0,255936.0
appartement,Ennasr 2,29,0.5735,-42.7,2026,1771.6,1639.3,1903.9,177161.0,163931.0,190391.0
appartement,Ennasr 2,29,0.5735,-42.7,2027,1848.7,1689.6,2007.8,184873.0,168964.0,200783.0
appartement,Ennasr 2,29,0.5735,-42.7,2028,1925.9,1738.1,2113.6,192586.0,173810.0,211362.0
appartement,Ennasr 2,29,0.5735,-42.7,2029,2003.0,1784.8,2221.2,200299.0,178483.0,222115.0
appartement,Ennasr 2,29,0.5735,-42.7,2030,2080.1,1829.9,2330.3,208012.0,182993.0,233031.0
appartement,Ennasr 2,29,0.5735,-42.7,2031,2157.2,1873.5,2441.0,215724.0,187349.0,244100.0
appartement,Ennasr 2,29,0.5735,-42.7,2032,2234.4,1915.6,2553.1,223437.0,191560.0,255315.0
appartement,Riadh Al Andalous,7,0.5655,-43.5,2026,1746.9,1616.5,1877.4,174692.0,161646.0,187738.0
appartement,Riadh Al Andalous,7,0.5655,-43.5,2027,1823.0,1666.1,1979.9,182297.0,166609.0,197985.0
appartement,Riadh Al Andalous,7,0.5655,-43.5,2028,1899.0,1713.9,2084.2,189902.0,171388.0,208417.0
appartement,Riadh Al Andalous,7,0.5655,-43.5,2029,1975.1,1760.0,2190.2,197508.0,175995.0,219020.0
appartement,Riadh Al Andalous,7,0.5655,-43.5,2030,2051.1,1804.4,2297.8,205113.0,180443.0,229783.0
appartement,Riadh Al Andalous,7,0.5655,-43.5,2031,2127.2,1847.4,2407.0,212718.0,184739.0,240698.0
appartement,Riadh Al Andalous,7,0.5655,-43.5,2032,2203.2,1888.9,2517.6,220323.0,188890.0,251757.0
appartement,El Aouina,28,0.5106,-48.9,2026,1577.3,1459.5,1695.1,157734.0,145954.0,169513.0
appartement,El Aouina,28,0.5106,-48.9,2027,1646.0,1504.4,1787.7,164601.0,150436.0,178766.0
appartement,El Aouina,28,0.5106,-48.9,2028,1714.7,1547.5,1881.9,171468.0,154750.0,188185.0
appartement,El Aouina,28,0.5106,-48.9,2029,1783.3,1589.1,1977.6,178335.0,158911.0,197759.0
appartement,El Aouina,28,0.5106,-48.9,2030,1852.0,1629.3,2074.8,185202.0,162926.0,207477.0
appartement,El Aouina,28,0.5106,-48.9,2031,1920.7,1668.1,2173.3,192069.0,166805.0,217332.0
appartement,El Aouina,28,0.5106,-48.9,2032,1989.4,1705.5,2273.2,198936.0,170554.0,227318.0
appartement,El Menzah,7,0.4914,-50.9,2026,1518.0,1404.6,1631.4,151800.0,140464.0,163136.0
appartement,El Menzah,7,0.4914,-50.9,2027,1584.1,1447.8,1720.4,158409.0,144777.0,172041.0
appartement,El Menzah,7,0.4914,-50.9,2028,1650.2,1489.3,1811.1,165018.0,148929.0,181106.0
appartement,El Menzah,7,0.4914,-50.9,2029,1716.3,1529.3,1903.2,171626.0,152933.0,190319.0
appartement,El Menzah,7,0.4914,-50.9,2030,1782.3,1568.0,1996.7,178235.0,156797.0,199672.0
appartement,El Menzah,7,0.4914,-50.9,2031,1848.4,1605.3,2091.6,184844.0,160530.0,209157.0
appartement,El Menzah,7,0.4914,-50.9,2032,1914.5,1641.4,2187.7,191452.0,164138.0,218766.0
appartement,Ariana,8,0.4891,-51.1,2026,1511.1,1398.3,1623.9,151110.0,139825.0,162395.0
appartement,Ariana,8,0.4891,-51.1,2027,1576.9,1441.2,1712.6,157689.0,144119.0,171259.0
appartement,Ariana,8,0.4891,-51.1,2028,1642.7,1482.5,1802.8,164267.0,148252.0,180283.0
appartement,Ariana,8,0.4891,-51.1,2029,1708.5,1522.4,1894.5,170846.0,152238.0,189454.0
appartement,Ariana,8,0.4891,-51.1,2030,1774.2,1560.8,1987.6,177425.0,156085.0,198765.0
appartement,Ariana,8,0.4891,-51.1,2031,1840.0,1598.0,2082.1,184003.0,159801.0,208206.0
appartement,Ariana,8,0.4891,-51.1,2032,1905.8,1633.9,2177.7,190582.0,163392.0,217772.0
appartement,Ezzahra,8,0.4499,-55.0,2026,1389.8,1286.0,1493.6,138981.0,128602.0,149359.0
appartement,Ezzahra,8,0.4499,-55.0,2027,1450.3,1325.5,1575.1,145031.0,132550.0,157512.0
appartement,Ezzahra,8,0.4499,-55.0,2028,1510.8,1363.5,1658.1,151082.0,136352.0,165811.0
appartement,Ezzahra,8,0.4499,-55.0,2029,1571.3,1400.2,1742.5,157132.0,140018.0,174247.0
appartement,Ezzahra,8,0.4499,-55.0,2030,1631.8,1435.6,1828.1,163183.0,143556.0,182810.0
appartement,Ezzahra,8,0.4499,-55.0,2031,1692.3,1469.7,1914.9,169233.0,146973.0,191493.0
appartement,Ezzahra,8,0.4499,-55.0,2032,1752.8,1502.8,2002.9,175284.0,150276.0,200291.0
appartement,Hammam Sousse,13,0.4135,-58.6,2026,1277.6,1182.2,1373.0,127756.0,118215.0,137297.0
appartement,Hammam Sousse,13,0.4135,-58.6,2027,1333.2,1218.4,1447.9,133318.0,121845.0,144791.0
appartement,Hammam Sousse,13,0.4135,-58.6,2028,1388.8,1253.4,1524.2,138880.0,125340.0,152420.0
appartement,Hammam Sousse,13,0.4135,-58.6,2029,1444.4,1287.1,1601.7,144442.0,128709.0,160174.0
appartement,Hammam Sousse,13,0.4135,-58.6,2030,1500.0,1319.6,1680.5,150004.0,131962.0,168045.0
appartement,Hammam Sousse,13,0.4135,-58.6,2031,1555.7,1351.0,1760.3,155565.0,135103.0,176028.0
appartement,Hammam Sousse,13,0.4135,-58.6,2032,1611.3,1381.4,1841.2,161127.0,138139.0,184115.0
appartement,Sousse,5,0.3237,-67.6,2026,999.9,925.3,1074.6,99995.0,92527.0,107462.0
appartement,Sousse,5,0.3237,-67.6,2027,1043.5,953.7,1133.3,104348.0,95368.0,113328.0
appartement,Sousse,5,0.3237,-67.6,2028,1087.0,981.0,1193.0,108701.0,98103.0,119299.0
appartement,Sousse,5,0.3237,-67.6,2029,1130.5,1007.4,1253.7,113054.0,100741.0,125368.0
appartement,Sousse,5,0.3237,-67.6,2030,1174.1,1032.9,1315.3,117408.0,103286.0,131529.0
appartement,Sousse,5,0.3237,-67.6,2031,1217.6,1057.5,1377.8,121761.0,105745.0,137777.0
