year,date_q4,prix_m2,prix_m2_low,prix_m2_high
2026,2026-10-01,3089.356268768427,2858.6471440113087,3320.0653935255455
2027,2027-10-01,3223.8522266658806,2946.4175745166995,3501.2868788150618
2028,2028-10-01,3358.3483674824442,3030.9249245419437,3685.771810422945
2029,2029-10-01,3492.844504345743,3112.408518033079,3873.2804906584074
2030,2030-10-01,3627.3406412945187,3191.0577069831734,4063.623575605864
2031,2031-10-01,3761.836778241445,3267.02730649091,4256.64624999198
2032,2032-10-01,3896.3329151884113,3340.4472178731617,4452.2186125036615
