year,date_q4,prix_m2,prix_m2_low,prix_m2_high
2026,2026-10-01,1996.2112642625846,1793.850924946202,2198.571603578967
2027,2027-10-01,2095.593944489301,1845.0860483629024,2346.1018406156995
2028,2028-10-01,2194.769639682486,1892.9588930296786,2496.580386335293
2029,2029-10-01,2293.9901481754855,1937.99626514442,2649.984031206551
2030,2030-10-01,2393.2009543174618,1980.232937794065,2806.1689708408585
2031,2031-10-01,2492.4138610768755,2019.799314579368,2965.028407574383
2032,2032-10-01,2591.6263130399584,2056.7952828495077,3126.457343230409
