year,date_q4,prix_m2,prix_m2_low,prix_m2_high
2026,2026-10-01,877.6494055101103,810.8652652625435,944.4335457576772
2027,2027-10-01,921.4458887020616,835.8364787012183,1007.0552987029048
2028,2028-10-01,965.1409747353325,859.3407688197271,1070.941180650938
2029,2029-10-01,1008.852909280107,881.5674739622208,1136.1383445979932
2030,2030-10-01,1052.562044216455,902.5563468049775,1202.5677416279325
2031,2031-10-01,1096.2716443456684,922.3670678290355,1270.1762208623013
2032,2032-10-01,1139.9811671767852,941.0498972136463,1338.9124371399241
